Code|Subcode|Description
B43K|09|Письменные и чертежные принадлежности
B43L|09|Классные, грифельные и чертежные доски; чертежные приборы; вспомогательные принадлежности для письма и черчения
B43M|09|Канцелярские принадлежности, не отнесенные к другим подклассам
B44||Декоративное искусство
B44B|09|Устройства и инструменты для выполнения художественных работ, например для ваяния, резьбы по дереву, выжигания, инкрустирования, гильоширования и т.п.
B44C|09|Получение декоративного эффекта
B44D|09|Окрашивание или художественное разрисовывание, не предусмотренные другими рубриками; предохранение картин от порчи; обработка поверхности с целью художественного украшения или очистки
B44F|09|Особые узоры или рисунки
B60||Транспортные средства
B60B|10|Колеса транспортных средств; ролики; оси; способы и средства для увеличения силы сцепления колес с поверхностью дороги
B60C|10|Шины
B60D|10|Сцепные устройства для транспортных средств
B60F|10|Транспортные средства, приспособленные для передвижения как по рельсам, так и дорогам; амфибии и т.п. транспортные средства; преобразуемые транспортные средства
B60G|10|Подвесные устройства транспортных средств
B60H|10|Установка или размещение отопительных, холодильных, вентиляционных и прочих устройств для обработки воздуха в пассажирских или грузовых помещениях транспортных средств
B60J|10|Окна, ветровые стекла, раздвижные или съемные крыши, двери и подобные устройства для транспортных средств; защитные чехлы для временно неэксплуатируемых транспортных средств
B60L|10|Электрооборудование транспортных средств с электротягой; магнитные подвески или левитационные устройства для транспортных средств; электродинамические тормозные системы для транспортных средств вообще
B60K|10|Расположение или монтаж силовых установок и трансмиссий транспортных средств; расположение или монтаж нескольких различных первичных двигателей; вспомогательные приводы; контрольно-измерительные приборы и панели управления; комбинированные средства управл
B60M|10|Линии энергоснабжения и устройства, расположенные вдоль железнодорожного полотна для транспортных средств с электротягой
B60N|10|Средства повышения комфортабельности для пассажирских транспортных средств
B60P|10|Транспортные средства, приспособленные для грузовых перевозок или транспортировки, перевозки и размещения обычных или специальных грузов или изделий
B60Q|10|Освещение и сигнализация на транспортных средствах
B60R|10|Транспортные средства, оборудование или конструктивные элементы транспортных средств
B60S|10|Способы и устройства для технического обслуживания, чистки, ремонта, подъема или перемещения транспортных средств
B60T|10|Системы управления тормозами транспортных средств и их элементы; системы управления тормозами общего назначения и их элементы
B60V|10|Транспортные средства на воздушной подушке
B61||Рельсовые транспортные средства
B61B|10|Системы железных дорог; оборудование для них
B61C|10|Локомотивы; моторные вагоны
B61D|10|Железнодорожные вагоны, платформы и т.п.; конструктивные элементы кузовов подвижного состава
B61F|10|Подвески, рамы, поворотные тележки вагонов, устройства колесных осей; транспортные средства для передвижения по дорогам с различной шириной колеи; устройства для предотвращения схода с рельсов; предохранительные устройства, улавливающие или удаляющие преп
B61G|10|Сцепные, тяговые и буферные устройства
B61H|10|Тормоза и прочие устройства для замедления движения рельсовых транспортных средств; устройство и расположение их на подвижном составе
B61J|10|Средства маневрирования подвижным составом; перемещение транспортных средств вообще
B61K|10|Вспомогательное железнодорожное оборудование
B61L|10|Организация и управление движением на железных дорогах; средства техники безопасности на железнодорожном транспорте
B62||Безрельсовые наземные транспортные средства
B62B|10|Транспортные средства, приводимые в движение вручную , например тележки, детские коляски; сани
B62C|10|Гужевые транспортные средства
B62D|10|Самоходные транспортные средства; прицепы
